PPN_17	Порядок определения расходов предпринимателей для целей обложения ЕСН (по п. 3 ст. 237 НК РФ)
PPN_4	Ввоз товаров на территорию Российской Федерации, иные территории, находящиеся под ее юрисдикцией, не облагаемый НДС (по ст. 150 НК РФ)
PPN_4	НДС при перемещении товаров через территорию Российской Федерации и иные территории, находящиеся под ее юрисдикцией (по ст. 151 НК РФ)
PPN_4	Налоговая база по НДС (по ст. 153 НК РФ)
PPN_4	Налоговая база по НДС при реализации товаров (работ, услуг) (по ст. 154 НК РФ)
PPN_4	Налоговая база по НДС при передаче имущественных прав (по ст. 155 НК РФ)
PPN_4	Налоговая база по НДС при заключении посреднических договоров (по ст. 156 НК РФ)
PPN_4	Налоговая база по НДС при перевозках и услугах международной связи (по ст. 157 НК РФ)
PPN_4	Налоговая база по НДС при реализации предприятия (по ст. 158 НК РФ)
PPN_4	Налоговая база по НДС при передаче товаров (выполнении СМР) для собственных нужд (по ст. 159 НК РФ)
PPN_4	Налоговая база по НДС при ввозе товаров (по ст. 160 НК РФ)
PPN_4	Определение налоговой базы по НДС налоговыми агентами (по ст. 161 НК РФ)
PPN_4	Увеличение налоговой базы по НДС на суммы, связанные с оплатой товаров (работ, услуг) (по ст. 162 НК РФ)
PPN_4	Налоговый период по НДС (по ст. 163 НК РФ)
PPN_4	Ставки НДС (по ст. 164 НК РФ)
PPN_4	Обоснование применения ставки НДС 0 процентов (по ст. 165 НК РФ)
PPN_4	Порядок исчисления НДС (по ст. 166 НК РФ)
PPN_4	Момент определения налоговой базы по НДС (по ст. 167 НК РФ)
PPN_4	Сумма НДС, предъявляемая продавцом покупателю. Порядок и условия выставления счетов-фактур (по ст. 168 НК РФ)
PPN_4	Порядок оформления и исправления счета-фактуры (по ст. 169 НК РФ)
PPN_4	Порядок отнесения сумм НДС на затраты (по ст. 170 НК РФ)
PPN_4	4. Льготный порядок восстановления НДС по объектам недвижимости (п. 2 ст. 170, п. 6 ст. 171 НК РФ)
PPN_4	Вычеты по НДС (когда есть право на вычет) (по ст. 171 НК РФ)
PPN_4	Условия и порядок применения вычета по НДС (по ст. 172 НК РФ)
PPN_4	Сумма НДС, подлежащая уплате в бюджет (по ст. 173 НК РФ)
PPN_4	Порядок представления декларации и уплаты НДС (по ст. 174 НК РФ)
PPN_4	Уплата НДС по деятельности простого товарищества или при договоре доверительного управления (по ст. 174.1 НК РФ)
PPN_4	Порядок возмещения НДС (по ст. 176 НК РФ)
PPN_4	1. Соотношение ст. 176 НК РФ и ст. 78 НК РФ
PPN_4	НДС при реорганизации организаций (по ст. 162.1 НК РФ)
PPN_4	Заявительный порядок возмещения НДС (по ст. 176.1 НК РФ)
PPN_4	Перемещение товаров без таможенного контроля и оформления (по ст. 152 НК РФ) (статья утратила силу с 1 января 2011 г.)
PPN_42	Глава 1. Право налогоплательщиков на зачет и возврат излишне уплаченных (излишне взысканных) сумм налогов, пеней, штрафов (ст. ст. 78, 79 НК РФ)
PPN_9	Доходы для целей налогообложения прибыли. Классификация доходов (по ст. 248 НК РФ)
PPN_9	Доходы от реализации для целей налогообложения прибыли (по ст. 249 НК РФ)
PPN_9	Внереализационные доходы для целей налогообложения прибыли (по ст. 250 НК РФ)
PPN_9	Доходы, не учитываемые при определении налоговой базы по налогу на прибыль (по ст. 251 НК РФ)
PPN_9	Порядок признания доходов для целей налога на прибыль при методе начисления (по ст. 271 НК РФ)
PPN_9	Порядок определения доходов и расходов при кассовом методе (по ст. 273 НК РФ)
PPN_9	Расходы для целей налогообложения прибыли. Группировка расходов (по ст. 252 НК РФ)
PPN_9	Расходы, связанные с производством и реализацией, для целей налогообложения прибыли (по ст. 253 НК РФ)
PPN_9	Материальные расходы для целей налогообложения прибыли (по ст. 254 НК РФ)
PPN_9	Расходы на оплату труда для целей налогообложения прибыли (по ст. 255 НК РФ)
PPN_9	Расходы на научные исследования и (или) опытно-конструкторские разработки для целей налогообложения прибыли (по ст. 262 НК РФ)
PPN_9	Расходы на обязательное и добровольное имущественное страхование для целей налогообложения прибыли (по ст. 263 НК РФ)
PPN_9	Прочие расходы, связанные с производством и (или) реализацией, для целей налогообложения прибыли (по ст. 264 НК РФ)
PPN_9	Внереализационные расходы (по ст. 265 НК РФ) для целей налога на прибыль
PPN_9	Учет расходов при реализации товаров и (или) имущественных прав (по ст. 268 НК РФ) для целей налога на прибыль
PPN_9	Учет процентов по долговым обязательствам для целей налогообложения прибыли (по ст. 269 НК РФ)
PPN_9	Расходы, не учитываемые в целях налогообложения прибыли (по ст. 270 НК РФ)
PPN_9	Порядок признания расходов для целей налога на прибыль при методе начисления (по ст. 272 НК РФ)
PPN_9	Порядок определения доходов и расходов для целей налога на прибыль при кассовом методе (по ст. 273 НК РФ)
PPN_9	Учет расходов на приобретение права на земельные участки (по ст. 264.1 НК РФ) для целей налога на прибыль
PPN_9	Учет амортизируемого имущества для целей налога на прибыль (по ст. 256 НК РФ)
PPN_9	Порядок определения стоимости амортизируемого имущества (в том числе основных средств) для целей налога на прибыль (по ст. 257 НК РФ)
PPN_9	Амортизационные группы (подгруппы) основных средств для целей налогообложения прибыли (по ст. 258 НК РФ)
PPN_9	Методы и порядок расчета сумм амортизации для целей налогообложения прибыли (по ст. 259 НК РФ)
PPN_9	Учет для целей налогообложения прибыли расходов на ремонт основных средств (по ст. 260 НК РФ)
PPN_9	Применение коэффициентов к норме амортизации для целей налогообложения прибыли (по ст. 259.3 НК РФ)
PPN_9	Применение линейного метода начисления амортизации для целей налогообложения прибыли (по ст. 259.1 НК РФ)
PPN_9	Налоговая база по налогу на прибыль (по ст. 274 НК РФ)
PPN_9	Налоговая база по доходам, полученным от долевого участия в других организациях (по ст. 275 НК РФ)
PPN_9	Налоговая база по налогу на прибыль при осуществлении деятельности с использованием объектов обслуживающих производств и хозяйств (по ст. 275.1 НК РФ)
PPN_9	Налоговая база по налогу на прибыль при доверительном управлении имуществом (по ст. 276 НК РФ)
PPN_9	Налоговая база по налогу на прибыль при передаче имущества в уставный (складочный) капитал (фонд, имущество фонда) (по ст. 277 НК РФ)
PPN_9	Налоговая база участников простого товарищества (по ст. 278 НК РФ)
PPN_9	Налоговая база по налогу на прибыль при уступке (переуступке) права требования (по ст. 279 НК РФ)
PPN_9	Налоговая база по налогу на прибыль по операциям с ценными бумагами (по ст. 280 НК РФ)
PPN_9	Перенос убытков на будущее (по ст. 283 НК РФ) в целях налогообложения прибыли
PPN_9	Резерв по сомнительным долгам для целей налогообложения прибыли (по ст. 266 НК РФ)
PPN_9	Резерв по гарантийному ремонту и обслуживанию для целей налогообложения прибыли (по ст. 267 НК РФ)
PPN_9	Резерв предстоящих расходов на оплату отпусков (ежегодного вознаграждения за выслугу лет) для целей налогообложения прибыли (по ст. 324.1 НК РФ)
PPN_9	Налоговый учет расходов на ремонт основных средств (по ст. 324 НК РФ)
PPN_9	Расходы на освоение природных ресурсов для целей налогообложения прибыли (по ст. 261 НК РФ)
PPN_9	Налоговый учет расходов на освоение природных ресурсов (по ст. 325 НК РФ)
PPN_9	Плательщики налога на прибыль (по ст. 246 НК РФ)
PPN_9	Ставки налога на прибыль (по ст. 284 НК РФ)
PPN_9	Исчисление и уплата налога на прибыль (авансовых платежей) (по ст. Ст. 286 и 287 НК РФ)
PPN_9	Исчисление и уплата налога на прибыль налогоплательщиком, имеющим обособленные подразделения (по ст. 288 НК РФ)
PPN_9	Расчет налоговой базы по налогу на прибыль (по ст. 315 НК РФ)
PPN_9	Налоговый учет доходов от реализации (по ст. 316 НК РФ)
PPN_9	Распределение расходов на производство и реализацию для целей налогообложения прибыли (по ст. 318 НК РФ)
PPN_9	Определение расходов по торговым операциям для целей налога на прибыль (по ст. 320 НК РФ)
PPN_9	Декларация по налогу на прибыль (по ст. 289 НК РФ)
PPN_9	Налогообложение прибыли иностранных организаций (по ст. 306 НК РФ)
PPN_9	Налогообложение прибыли иностранных организаций, осуществляющих деятельность через постоянное представительство (по ст. 307 НК РФ)
PPN_9	Налогообложение прибыли иностранных организаций при осуществлении деятельности на строительной площадке (по ст. 308 НК РФ)
PPN_9	Налогообложение прибыли иностранных организаций, не имеющих постоянного представительства в РФ и получающих доходы от источников в РФ (по ст. 309 НК РФ)
PPN_9	Исчисление и уплата налога на прибыль, удерживаемого налоговым агентом из доходов, которые получены иностранной организацией от источников в РФ (по ст. 310 НК РФ)
PPN_9	Устранение двойного налогообложения (по ст. 311 НК РФ)
PPN_9	Специальные положения (по ст. 312 НК РФ)
PPN_9	Особенности определения доходов банков для целей налогообложения прибыли (по ст. 290 НК РФ)
PPN_9	Особенности определения расходов профессиональных участников рынка ценных бумаг для целей налогообложения прибыли (по ст. 299 НК РФ)
PPN_9	Налоговая база по налогу на прибыль бюджетных учреждений (по ст. 321.1 НК РФ)
